name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Изучаем DDD – предметно-ориентированное проектирование,Влад Хононов,https://www.litres.ru/book/vlad-hononov/izuchaem-ddd-predmetno-orientirovannoe-proektirovanie-70920895/,0.0,0,0,319,549.0,[],0,2022
"Высоконагруженные приложения. Программирование, масштабирование, поддержка (pdf+epub)",Мартин Клеппман,https://www.litres.ru/book/martin-kleppman-1733/vysokonagruzhennye-prilozheniya-programmirovanie-mass-39100996/,3.98,51,0,25,799.0,[],16,2017
System Design. Подготовка к сложному интервью,Алекс Сюй,https://www.litres.ru/book/aleks-suy/system-design-podgotovka-k-slozhnomu-intervu-67193183/,3.59,17,0,304,699.0,[],16,2020
Начинаем программировать на Python,Тони Гэддис,https://www.litres.ru/book/toni-geddis-32491161/nachinaem-programmirovat-na-python-68998912/,4.94,16,0,39,599.0,[],12,2021
Нейросети начало,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-nachalo-69188950/,4.88,440,0,152581,690.0,[],12,2023
Python Библиотеки,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/python-biblioteki-70323379/,4.97,344,0,261290,690.0,[],12,2024
Информатика. 7 класс. Базовый уровень,Л. Л. Босова,https://www.litres.ru/book/anna-bosova/informatika-7-klass-68294027/,3.29,7,0,259,535.0,[],0,2023
"Чистый код: создание, анализ и рефакторинг (pdf+epub)",Роберт Мартин,https://www.litres.ru/book/robert-s-martin/chistyy-kod-sozdanie-analiz-i-refaktoring-pdf-epub-6444478/,4.23,121,0,464,599.0,[],16,
Архитектура компьютера,Эндрю Таненбаум,https://www.litres.ru/book/endru-tanenbaum/arhitektura-komputera-66738078/,4.17,6,0,816,699.0,[],16,2015
C++20 для программистов (pdf+epub),Пол Дейтел,https://www.litres.ru/book/pol-deytel/c-20-dlya-programmistov-pdf-epub-70870268/,0.0,0,0,20,699.0,[],16,2022
1С:Предприятие 8.3. Практическое пособие разработчика. Примеры и типовые приемы. Издание 3-е,М. Г. Радченко,https://www.litres.ru/book/e-u-hrustaleva/1s-predpriyatie-8-3-prakticheskoe-posobie-razrabotchika-pri-40932461/,4.47,72,0,41,180.0,[],12,2023
Go. Идиомы и паттерны проектирования (pdf + epub),Джон Боднер,https://www.litres.ru/book/dzhon-bodner/go-idiomy-i-patterny-proektirovaniya-pdf-epub-67893687/,5.0,7,0,25,699.0,[],16,2021
Разработка сложных отчетов в «1С:Предприятии 8». Система компоновки данных (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/razrabotka-slozhnyh-otchetov-v-1s-predpriyatii-8-sistema-ko-70927897/,0.0,0,0,485,490.0,[],12,2024
Создай свой VPN. Безопасное использование интернета,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/sozday-svoy-vpn-bezopasnoe-ispolzovanie-interneta-70388320/,4.98,244,0,439639,690.0,[],12,2024
Микросервисы. Паттерны разработки и рефакторинга (pdf+epub),Крис Ричардсон,https://www.litres.ru/book/kris-richardson-2184/mikroservisy-patterny-razrabotki-i-refaktoringa-pdf-e-50445630/,4.19,21,0,31,699.0,[],16,2019
Python для data science (pdf+epub),Юлий Васильев,https://www.litres.ru/book/uliy-vasilev/python-dlya-data-science-pdf-epub-69434380/,5.0,4,0,272,699.0,[],16,2022
Разработка интерфейса прикладных решений на платформе «1С:Предприятие 8» (+ 2epub),М. Г. Радченко,https://www.litres.ru/book/a-v-ostroverh/razrabotka-interfeysa-prikladnyh-resheniy-na-platforme-1s-pr-69965059/,0.0,0,0,903,650.0,[],12,2023
Объектно-ориентированное программирование в C++,Роберт Лафоре,https://www.litres.ru/book/robert-lafore/obektno-orientirovannoe-programmirovanie-v-c-66737838/,3.87,15,0,924,699.0,[],16,2022
Java для опытных разработчиков (pdf+epub),Бенджамин Дж. Эванс,https://www.litres.ru/book/bendzhamin-dzh-evans/java-dlya-opytnyh-razrabotchikov-pdf-epub-70870265/,0.0,0,0,20,699.0,[],16,2022
Искусственный интеллект. Основные понятия,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/iskusstvennyy-intellekt-osnovnye-ponyatiya-70369546/,4.96,324,0,486055,690.0,[],12,2024
"Путь 1С-разработки. Не спеша, эффективно и правильно (pdf + epub)",Никита Зайцев aka WildHare,https://www.litres.ru/book/nikita-zaycev-aka-wi/put-1s-razrabotki-ne-spesha-effektivno-i-pravilno-pdf-70415749/,4.75,4,0,305,449.0,[],16,2024
Паттерны объектно-ориентированного проектирования,Ральф Джонсон,https://www.litres.ru/book/dzhon-vlissides/patterny-obektno-orientirovannogo-proektirovaniya-64073196/,4.08,12,0,448,599.0,[],16,1995
C/C++. Программирование на языке высокого уровня. Учебник для вузов,Татьяна Александровна Павловская,https://www.litres.ru/book/tatyana-aleksandrovn/c-c-programmirovanie-na-yazyke-vysokogo-urovnya-ucheb-66828878/,4.12,8,0,25,699.0,[],0,2021
Технологии интеграции 1С:Предприятия 8.3 (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/tehnologii-integracii-1s-predpriyatiya-8-3-56246183/,4.56,16,0,503,400.0,[],12,2023
Шаблоны корпоративных приложений,Мартин Фаулер,https://www.litres.ru/book/martin-fauler/shablony-korporativnyh-prilozheniy-48637483/,4.89,9,0,546,1800.0,[],0,2003
JavaScript и Node.js для веб-разработчиков,Владимир Дронов,https://www.litres.ru/book/vladimir-dronov/javascript-i-node-js-dlya-veb-razrabotchikov-68995402/,4.8,5,0,767,549.0,[],0,2022
Принципы юнит-тестирования (pdf + epub),Владимир Хориков,https://www.litres.ru/book/vladimir-horikov/principy-unit-testirovaniya-pdf-epub-64083637/,4.64,14,0,320,699.0,[],16,2019
Нейросети. Обработка аудиоданных,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-obrabotka-audiodannyh-69858871/,4.92,313,0,313922,690.0,[],12,2023
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps (pdf + epub)",Эрик Чоу,https://www.litres.ru/book/erik-chou/python-dlya-setevyh-inzhenerov-avtomatizaciya-seti-programmirova-68332360/,4.33,3,0,25,699.0,[],16,2020
Head First. Программирование для Android на Kotlin,Дон Гриффитс,https://www.litres.ru/book/don-griffits/head-first-programmirovanie-dlya-android-na-kotlin-69932284/,4.33,3,0,912,699.0,[],16,2021
"Программирование на Python с нуля. Учимся думать как программисты, осваиваем логику языка и пишем первый код!",Патриша Фостер,https://www.litres.ru/book/patrisha-foster/programmirovanie-na-python-s-nulya-uchimsya-dumat-kak-prog-68459110/,4.88,16,0,211,539.0,[],12,2020
Kotlin. Программирование для профессионалов,Джош Скин,https://www.litres.ru/book/dzhosh-skin/kotlin-programmirovanie-dlya-professionalov-66738298/,4.27,11,0,556,799.0,[],16,2022
Осваиваем биткоин. Программирование блокчейна,Андреас М. Антонопулос,https://www.litres.ru/book/andreas-m-antonopulos/osvaivaem-bitkoin-programmirovanie-blokcheyna-44867821/,3.2,15,0,430,790.0,[],0,2017
120 практических задач,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/120-prakticheskih-zadach-70808326/,4.97,117,0,617884,690.0,[],12,2024
Программирование на Python в примерах и задачах,Алексей Васильев,https://www.litres.ru/book/aleksey-nikolaevich-vasil/programmirovanie-na-python-v-primerah-i-zadachah-63455717/,4.12,26,0,619,549.0,[],12,2021
Алгоритмы в задачах и примерах. Самые эффективные способы и решения от сообщества Stack Оverflow,Коллектив авторов,https://www.litres.ru/book/raznoe-4340152/algoritmy-v-zadachah-i-primerah-samye-effektivnye-sposoby-i-70363786/,5.0,1,0,258,499.0,[],16,2023
100 ошибок Go и как их избежать (+epub),Тейва Харшани,https://www.litres.ru/book/teyva-harshani/100-oshibok-go-i-kak-ih-izbezhat-epub-69932935/,5.0,2,0,480,699.0,[],16,2022
Алгоритмы неформально. Инструкция для начинающих питонистов (pdf + epub),Брэдфорд Такфилд,https://www.litres.ru/book/bredford-takfild/algoritmy-neformalno-instrukciya-dlya-nachinauschih-piton-68332388/,5.0,3,0,272,499.0,[],16,2021
Тест-дизайн. Практическое руководство для начинающих,Ольга Назина,https://www.litres.ru/book/olga-nazina/test-dizayn-prakticheskoe-rukovodstvo-dlya-nachinauschih-69842647/,4.33,3,0,511,549.0,[],0,2023
Разработка Android-приложений с нуля,Джон Хортон,https://www.litres.ru/book/dzhon-horton-21544363/razrabotka-android-prilozheniy-s-nulya-69842353/,5.0,2,0,576,549.0,[],0,2021
"1С:Программирование для начинающих. Детям и родителям, менеджерам и руководителям. Разработка в системе «1С:Предприятие 8.3», 2-е стереотипное издание (+ epub)",М. Г. Радченко,https://www.litres.ru/book/m-g-radchenko/1s-programmirovanie-dlya-nachinauschih-detyam-i-roditelyam-m-40932762/,3.92,64,0,781,550.0,[],12,2022
"Искусственный интеллект и компьютерное зрение. Реальные проекты на Python, Keras и TensorFlow (+ epub)",Анирад Коул,https://www.litres.ru/book/anirad-koul/iskusstvennyy-intellekt-i-komputernoe-zrenie-realnye-proekty-n-68677498/,5.0,3,0,608,799.0,[],16,2020
